FRANODEID,ECCENTRICITY,EFFICIENCY,LATITUDE,LONGITUDE
311461,1257,0.003508937,37.42293634,-121.8916944
311462,1218,0.004024315,38.02479339,-121.8916594
311464,1254,0.003691753,37.41242106,-121.8915955
311465,1262,0.003193321,37.43052165,-121.8914709
311466,1252,0.00395296,37.4109214,-121.8914542
311467,1261,0.003274403,37.43006878,-121.8913774
311468,1259,0.003384797,37.43021237,-121.8912873
311469,1443,0.002832249,45.67138399,-121.8911882
311470,1219,0.003986304,38.02478162,-121.8911832
311471,1308,0.00256866,42.00332057,-121.8910753
311473,1252,0.003975206,37.41006772,-121.8909965
311474,1260,0.003348835,37.42794267,-121.8907467
311475,1256,0.003661573,37.42124004,-121.8907352
311476,1259,0.003438581,37.42775741,-121.8906917
311479,1258,0.00351666,37.42721615,-121.890529
311482,1252,0.003944708,37.41245145,-121.890252
311483,1260,0.003320116,37.42662518,-121.8902451
311484,1257,0.003597769,37.42601763,-121.8901689
311485,1255,0.003634124,37.41262546,-121.8898815
311486,1253,0.00386422,37.4126227,-121.8897187
311487,1258,0.003452433,37.42436894,-121.8895698
311489,1219,0.004009503,38.02445877,-121.8892701
311490,1256,0.003692344,37.42069861,-121.8886556
311491,1255,0.00376182,37.41828753,-121.8879631
311493,1254,0.003802404,37.41320826,-121.8878107
311494,1219,0.003782036,38.02398627,-121.8873634
311495,1257,0.003593367,37.42228939,-121.8872117
311497,1258,0.003506776,37.42237776,-121.88681
311499,1259,0.003378096,37.42283897,-121.8860066
311500,1259,0.003419869,37.4225407,-121.8859512
311502,1253,0.003664232,37.36998285,-121.8857718
311503,1258,0.003449337,37.42245785,-121.8856673
311505,1260,0.003308454,37.42291906,-121.884019
311506,1260,0.003308454,37.42285554,-121.8838113
311509,1253,0.00385224,37.39431601,-121.8833331
311510,1442,0.00285821,45.67650192,-121.8832563
311511,1326,0.002457284,42.5218548,-121.8831776
311515,1254,0.003564624,37.36722335,-121.8824584
311516,1228,0.004247119,37.65836183,-121.882328
311517,1255,0.003462751,37.36696719,-121.8822085
311518,1223,0.003706341,38.01336839,-121.881803
311522,1229,0.004306497,37.62476777,-121.8807627
311540,1230,0.004144703,37.61483453,-121.877339
